transcript_id	strand	type	start	end	feature	term_id	score_term	term_start	term_end	rank_term_score	additional_term	start_with_terminator	end_with_terminator
antisense_0	-	RNA	698	857								698.0	857.0
antisense_1	-	RNA	991	1036	RhoDep	T1375	0.615	890.0	968.0	1.0		740.0	1036.0
antisense_2	-	RNA	1664	2199								1664.0	2199.0
antisense_3	-	RNA	2271	2398								2271.0	2398.0
antisense_4	-	COD	3676	4463	RhoDep	T1379	0.657	3729.0	3807.0	1.0		3579.0	4463.0
antisense_5	-	COD	10982	11810	RhoDep	T1389	0.541	11148.0	11226.0	1.0		10998.0	11810.0
antisense_6	-	COD	11825	12083								11825.0	12083.0
antisense_7	-	RNA	12589	13410	Intrinsic	TERM158	0.539	12519.0	12533.0	1.0		12519.0	13410.0
antisense_8	-	RNA	13864	14046								13864.0	14046.0
antisense_9	-	RNA	14172	14205								14172.0	14205.0
antisense_10	+	RNA	15890	16350	Intrinsic	TERM209	0.684	16419.0	16432.0	1.0		15890.0	16432.0
antisense_11	+	COD	16550	16624								16550.0	16624.0
antisense_12	+	RNA	16714	16806								16714.0	16806.0
antisense_13	+	RNA	17112	17328								17112.0	17328.0
antisense_14	-	RNA	18090	18467	RhoDep	T1399	0.639	17715.0	17793.0	1.0		17565.0	18467.0
antisense_15	+	RNA	20156	20552	RhoDep	T11	0.681	20738.0	20816.0	1.0		20156.0	20966.0
antisense_16	+	RNA	24677	25564	RhoDep	T15	0.652	25301.0	25379.0	1.0		24677.0	25529.0
antisense_17	+	RNA	26083	26970								26083.0	26970.0
antisense_18	+	RNA	27109	27992								27109.0	27992.0
antisense_19	-	RNA	35759	36099	RhoDepWithHP	T1420	0.606	35370.0	35538.0	1.0	TERM459	35370.0	36099.0
antisense_20	-	RNA	37006	37461	RhoDep	T1422	0.634	36714.0	36792.0	1.0		36564.0	37461.0
orphan_0	+	RNA	38782	39154								38782.0	39154.0
antisense_21	-	RNA	39625	40236	RhoDep	T1427	0.673	39489.0	39567.0	1.0		39339.0	40236.0
orphan_2	+	RNA	41103	41512	Intrinsic	TERM550	0.067	41120.0	41140.0	1.0		41103.0	41140.0
orphan_3	-	RNA	40632	41335								40632.0	41335.0
antisense_23	-	RNA	48820	49707	Intrinsic	TERM665	0.691	49348.0	49368.0	1.0		49348.0	49707.0
antisense_24	-	RNA	49709	50488	RhoDep	T1451	0.307	50244.0	50322.0	1.0		50094.0	50488.0
antisense_25	-	RNA	59135	60022	Intrinsic	TERM826	0.101	59826.0	59843.0	1.0		59826.0	60022.0
antisense_26	-	RNA	60396	61283	Intrinsic	TERM840	0.377	60605.0	60615.0	1.0		60605.0	61283.0
antisense_27	-	RNA	61479	62366								61479.0	62366.0
antisense_28	-	RNA	62414	62571								62414.0	62571.0
antisense_29	+	COD	62832	63202	RhoDep	T30	0.683	63672.0	63750.0	1.0		62832.0	63900.0
antisense_30	+	COD	66266	66929	RhoDep	T32	0.715	66879.0	66957.0	1.0		66266.0	67107.0
antisense_31	+	COD	67632	68515	RhoDep	T36	0.617	68457.0	68535.0	1.0		67632.0	68685.0
antisense_32	-	RNA	70815	71243	RhoDep	T1464	0.433	70320.0	70398.0	1.0		70170.0	71243.0
antisense_33	-	RNA	72001	72468	RhoDep	T1465	0.535	72040.0	72118.0	1.0		71890.0	72468.0
antisense_34	-	RNA	72757	73018	RhoDep	T1466	0.593	72781.0	72859.0	1.0		72631.0	73018.0
antisense_35	+	RNA	74603	74853								74603.0	74853.0
antisense_36	+	RNA	75130	75149								75130.0	75149.0
antisense_37	+	RNA	75246	76080								75246.0	76080.0
antisense_38	+	RNA	76200	76699								76200.0	76699.0
antisense_39	+	RNA	76700	76840								76700.0	76840.0
antisense_40	-	RNA	77143	77863	RhoDep	T1470	0.516	77330.0	77408.0	1.0		77180.0	77863.0
antisense_41	-	COD	77894	78029								77894.0	78029.0
antisense_42	-	COD	78136	79023	RhoDep	T1472	0.395	78574.0	78652.0	1.0		78424.0	79023.0
antisense_43	+	RNA	80234	80842								80234.0	80842.0
antisense_44	+	RNA	81682	82333								81682.0	82333.0
antisense_45	+	COD	84627	85470	RhoDep	T48	0.56	85316.0	85394.0	1.0		84627.0	85544.0
antisense_46	+	RNA	88905	89198								88905.0	89198.0
antisense_47	+	COD	89335	89376								89335.0	89376.0
antisense_48	+	RNA	89378	90263	RhoDep	T55	0.275	89421.0	89499.0	1.0		89378.0	89649.0
antisense_49	-	RNA	91836	92723	RhoDep	T1481	0.251	92643.0	92721.0	1.0		92493.0	92723.0
antisense_50	+	RNA	94415	95291	Intrinsic	TERM1384	0.568	95058.0	95079.0	1.0		94415.0	95079.0
antisense_51	+	COD	99428	99470								99428.0	99470.0
antisense_52	+	RNA	99488	99639	RhoDep	T64	0.653	99964.0	100042.0	1.0		99488.0	100192.0
antisense_54	-	RNA	102082	102359	Intrinsic	TERM1496	0.565	102019.0	102030.0	1.0		102019.0	102359.0
antisense_56	-	COD	102371	103114	RhoDep	T1492	0.471	102676.0	102754.0	1.0		102526.0	103114.0
antisense_57	-	RNA	103356	103935								103356.0	103935.0
antisense_58	+	RNA	105989	106496								105989.0	106496.0
antisense_59	-	RNA	113843	114730	RhoDep	T1506	0.64	113783.0	113861.0	1.0		113633.0	114730.0
antisense_60	-	RNA	115469	115585	RhoDep	T1507	0.602	114902.0	114980.0	1.0		114752.0	115585.0
antisense_61	-	COD	118990	119739	RhoDep	T1510	0.651	118990.0	119068.0	1.0		118840.0	119739.0
antisense_62	-	RNA	119857	119958	RhoDep	T1511	0.714	119752.0	119830.0	1.0		119602.0	119958.0
antisense_63	-	COD	121830	122674	Intrinsic	TERM1810	0.555	121978.0	121988.0	1.0		121978.0	122674.0
antisense_64	-	COD	122812	123679								122812.0	123679.0
antisense_65	-	RNA	127795	128679	RhoDep	T1523	0.581	127928.0	128006.0	1.0		127778.0	128679.0
antisense_66	-	RNA	135170	135623	RhoDep	T1534	0.683	134967.0	135045.0	1.0		134817.0	135623.0
antisense_67	+	RNA	137571	138456								137571.0	138456.0
antisense_68	+	RNA	139631	139793	RhoDep	T85	0.622	140064.0	140142.0	1.0		139631.0	140292.0
antisense_69	+	RNA	141624	141886	RhoDep	T87	0.77	141863.0	141941.0	1.0		141624.0	142091.0
antisense_70	-	RNA	143229	143490								143229.0	143490.0
antisense_71	-	RNA	143513	144400	RhoDep	T1539	0.656	143601.0	143679.0	1.0		143451.0	144400.0
antisense_72	-	RNA	152938	153577	RhoDep	T1558	0.734	152841.0	152919.0	1.0		152691.0	153577.0
antisense_73	-	RNA	157569	158456	RhoDep	T1565	0.498	157760.0	157838.0	1.0		157610.0	158456.0
antisense_74	-	RNA	159117	159909								159117.0	159909.0
antisense_75	+	RNA	169230	170117	RhoDep	T101	0.614	169875.0	169953.0	1.0		169230.0	170103.0
antisense_76	+	RNA	171691	172225								171691.0	172225.0
antisense_77	+	RNA	174232	174803								174232.0	174803.0
antisense_78	+	RNA	176666	177132	Intrinsic	TERM2598	0.453	176995.0	177034.0	1.0		176666.0	177034.0
antisense_79	-	RNA	177183	177862								177183.0	177862.0
antisense_80	+	RNA	180109	180398	RhoDep	T113	0.684	180570.0	180648.0	1.0		180109.0	180798.0
antisense_81	+	RNA	182248	182383	RhoDep	T117	0.717	182377.0	182455.0	1.0		182248.0	182605.0
antisense_82	+	RNA	182416	182469	RhoDep	T118	0.535	182763.0	182841.0	1.0		182416.0	182991.0
antisense_83	+	RNA	182864	183557								182864.0	183557.0
antisense_84	-	RNA	184674	184775	Intrinsic	TERM2714	0.753	184492.0	184516.0	1.0		184492.0	184775.0
antisense_85	+	RNA	188288	188543	RhoDep	T122	0.588	188639.0	188717.0	1.0		188288.0	188867.0
antisense_86	+	RNA	188653	189540								188653.0	189540.0
antisense_87	+	COD	192251	193042	RhoDep	T126	0.673	192999.0	193077.0	1.0		192251.0	193227.0
antisense_88	+	RNA	193344	193513	RhoDep	T127	0.609	193458.0	193536.0	1.0		193344.0	193686.0
antisense_89	+	RNA	193671	194029	RhoDep	T128	0.673	193959.0	194037.0	1.0		193671.0	194187.0
antisense_90	-	COD	196133	196909	RhoDep	T1584	0.689	196074.0	196152.0	1.0		195924.0	196909.0
antisense_91	+	RNA	200840	201614								200840.0	201614.0
antisense_92	+	RNA	201616	202060	Intrinsic	TERM2932	0.678	201774.0	201800.0	1.0		201616.0	201800.0
antisense_93	+	RNA	202061	202948								202061.0	202948.0
antisense_94	-	RNA	203223	203821								203223.0	203821.0
antisense_95	-	RNA	203848	203979								203848.0	203979.0
