transcript_id	position	strand	alignedTo	same_classification?	source	score	z_score	winner	GenomeStart	PredictionStart	GenomeEnd	PredictionEnd
antisense_0	1896	-		OTH Found	CNIT	-0.434	-0.57	RNA	986.0	1696.0	1896.0	1767.0
antisense_1	2199	-		OTH Found	CNIT	-0.623	1.437	RNA	1896.0	1934.0	2199.0	1954.0
antisense_2	2398	-		OTH Found	CNIT	-0.621	1.42	RNA	2199.0	2271.0	2398.0	2291.0
antisense_3	4463	-	CP053849.1 (4422-3628)	False	QRNA	18.899	0.255	COD	3670.0	3670.0	4461.0	4311.0
antisense_4	4842	-		OTH Found	CNIT	-0.527	0.416	RNA	4463.0	4620.0	4842.0	4670.0
antisense_5	11812	-	CP022347.1 (1703931-1703023)	False	QRNA	44.3	2.002	COD	10904.0	10972.0	11812.0	11499.0
antisense_6	12085	-	CP022347.1 (1704204-1703932)	False	QRNA	9.104	-0.419	COD	11813.0	11827.0	12085.0	12042.0
antisense_7	13687	-		OTH Found	CNIT	-0.628	1.487	RNA	12777.0	13584.0	13687.0	13601.0
antisense_8	14034	-		OTH Found	CNIT	-0.524	0.382	RNA	13687.0	14010.0	14034.0	14030.0
antisense_9	14696	-		OTH Found	CNIT	-0.53	0.45	RNA	14034.0	14195.0	14696.0	14221.0
antisense_10	15907	+		OTH Found	CNIT	-0.403	-0.9	RNA	15907.0	16305.0	16567.0	16367.0
antisense_11	16567	+	CP037747.1 (48237-48099)	False	QRNA	0.415	-1.017	COD	16567.0	16582.0	16706.0	16689.0
antisense_12	16731	+		OTH Found	CNIT	-0.43	-0.616	RNA	16731.0	16788.0	17129.0	16823.0
antisense_13	17129	+	CP049272.1 (1779921-1780268)	False	QRNA	3.636	-0.795	COD	17129.0	17129.0	17475.0	17395.0
antisense_14	19493	+	CP076657.1 (26224-25421)	True	QRNA	12.101	0.196	RNA	19502.0	19502.0	20300.0	20300.0
antisense_15	20301	+		OTH Found	CNIT	-0.496	0.084	RNA	20301.0	20460.0	21135.0	20492.0
antisense_16	24811	+	CP059597.1 (23475-24393)	True	QRNA	11.313	0.102	RNA	24811.0	24811.0	25720.0	25720.0
antisense_17	26217	+	AP026014.1 (26317-27220)	True	QRNA	9.781	-0.081	RNA	26217.0	26217.0	27126.0	27126.0
antisense_18	27243	+	CP082947.1 (61990-61079)	True	QRNA	22.846	1.479	RNA	27243.0	27243.0	28152.0	27927.0
antisense_19	36420	-		OTH Found	CNIT	-0.432	-0.593	RNA	35510.0	35894.0	36420.0	35935.0
orphan_0	38882	+	CP015528.1 (36206-36591)	True	QRNA	9.649	-0.097	RNA	38886.0	38886.0	39248.0	39248.0
antisense_20	40330	-		OTH Found	CNIT	-0.33	-1.681	RNA	39420.0	39719.0	40330.0	39988.0
orphan_1	41200	+	CP059597.1 (1327431-1327031)	True	QRNA	21.043	1.264	RNA	41207.0	41207.0	41561.0	41561.0
antisense_21	41491	-	AF074836.1 (703-1)	True	QRNA	25.256	1.767	RNA	40815.0	40815.0	41491.0	41491.0
antisense_22	45978	-		OTH Found	CNIT	-0.563	0.797	RNA	45068.0	45853.0	45978.0	45870.0
antisense_23	46790	-		OTH Found	CNIT	-0.541	0.56	RNA	45978.0	45981.0	46790.0	46004.0
antisense_24	48168	-		OTH Found	CNIT	-0.508	0.212	RNA	47258.0	47425.0	48168.0	47469.0
antisense_25	50251	-		OTH Found	CNIT	-0.431	-0.612	RNA	49341.0	50063.0	50251.0	50107.0
antisense_26	50577	-		OTH Found	CNIT	-0.629	1.498	RNA	50251.0	50436.0	50577.0	50453.0
antisense_27	51744	-	CP007769.1 (1424377-1425286)	True	QRNA	18.844	1.001	RNA	50835.0	50835.0	51744.0	51744.0
antisense_28	55646	+	CP063089.1 (1564571-1565241)	False	QRNA	18.378	0.219	COD	55647.0	55755.0	56317.0	56309.0
antisense_29	57012	+	CP037747.1 (1388694-1387800)	False	QRNA	9.56	-0.388	COD	57021.0	57030.0	57921.0	57901.0
antisense_30	60583	-		OTH Found	CNIT	-0.495	0.072	RNA	59673.0	60094.0	60583.0	60114.0
antisense_31	61811	-		OTH Found	CNIT	-0.336	-1.62	RNA	60901.0	61344.0	61811.0	61481.0
antisense_32	62361	-		OTH Found	CNIT	-0.337	-1.612	RNA	61811.0	62100.0	62361.0	62243.0
antisense_33	63946	+	CP065357.1 (1166794-1166197)	True	QRNA	21.352	1.301	RNA	63948.0	63948.0	64581.0	64581.0
antisense_34	64589	+		OTH Found	CNIT	-0.513	0.271	RNA	64589.0	65451.0	65499.0	65480.0
antisense_35	66049	+		No QRNA hit	CNIT	-0.626	1.466	RNA	66049.0	66069.0	66084.0	66083.0
antisense_36	66084	+		OTH Found	CNIT	-0.669	1.926	RNA	66084.0	66209.0	66451.0	66220.0
antisense_37	67215	-	CP014744.1 (70151-69430)	True	QRNA	17.029	0.785	RNA	66493.0	66493.0	67215.0	67215.0
antisense_38	69587	+		OTH Found	CNIT	-0.468	-0.212	RNA	69587.0	69760.0	70497.0	69837.0
antisense_39	71035	+		OTH Found	CNIT	-0.458	-0.315	RNA	71035.0	71275.0	71935.0	71328.0
antisense_40	73983	+		OTH Found	CNIT	-0.389	-1.052	RNA	73983.0	74001.0	74893.0	74081.0
antisense_41	78261	+		OTH Found	CNIT	-0.468	-0.217	RNA	78261.0	78516.0	78691.0	78554.0
antisense_42	78691	+		OTH Found	CNIT	-0.969	5.122	RNA	78691.0	78700.0	78734.0	78711.0
antisense_43	78734	+	CP041617.1 (1024948-1025838)	True	QRNA	9.564	-0.107	RNA	78734.0	78734.0	79643.0	79643.0
