transcript_id	position	strand	transcript_length	winner	feature	term_start	term_end	mfe	summary	GeneStart	GeneEnd	GeneLength	GeneLengthWithUTR	url_for_image
orphan_0	37025	+	371	RNA	NA	NA	NA	-63.9	NA	37025.0	37395.0	371.0	371.0	orphan_0_ss.jpg
orphan_2	39346	+	364	RNA	NA	NA	NA	-78.0	NA	39353.0	39706.0	354.0	361.0	orphan_2_ss.jpg
orphan_4	431840	+	371	RNA	NA	NA	NA	-63.9	NA	431840.0	432210.0	371.0	371.0	orphan_4_ss.jpg
orphan_6	434161	+	364	RNA	NA	NA	NA	-78.0	NA	434168.0	434521.0	354.0	361.0	orphan_6_ss.jpg
orphan_11	696140	+	62	RNA	NA	NA	NA	-1.3	[['motif_0', 29, 0.000887]]	696150.0	696164.0	15.0	25.0	orphan_11_ss.jpg
orphan_12	696202	+	87	RNA	NA	NA	NA	-6.3	[['motif_0', 30, 9.2e-05]]	696251.0	696265.0	15.0	64.0	orphan_12_ss.jpg
orphan_15	774799	+	371	RNA	NA	NA	NA	-63.9	NA	774799.0	775169.0	371.0	371.0	orphan_15_ss.jpg
orphan_17	777120	+	364	RNA	NA	NA	NA	-78.0	NA	777127.0	777480.0	354.0	361.0	orphan_17_ss.jpg
orphan_22	1045148	+	458	RNA	NA	NA	NA	-45.3	NA	1045148.0	1045458.0	311.0	311.0	orphan_22_ss.jpg
orphan_23	1071137	+	391	RNA	NA	NA	NA	-63.0	[['motif_0', 29, 0.000996]]	1071368.0	1071415.0	48.0	279.0	orphan_23_ss.jpg
orphan_26	1695716	+	354	RNA	Intrinsic	1695755.0	1695776.0	-10.7	NA	1695716.0	1695776.0	61.0	61.0	orphan_26_ss.jpg
orphan_8	526674	-	172	RNA	NA	NA	NA	-22.0	[['motif_0', 28, 0.000221]]	526502.0	526546.0	45.0	173.0	orphan_8_ss.jpg
orphan_9	695304	-	558	RNA	NA	NA	NA	-125.2	[['motif_0', 30, 0.000549]]	694747.0	695304.0	558.0	558.0	orphan_9_ss.jpg
orphan_10	695391	-	87	RNA	NA	NA	NA	0.0	[['motif_3', 2, 0.000908]]	695373.0	695381.0	9.0	19.0	orphan_10_ss.jpg
orphan_13	773341	-	862	RNA	RhoDep	772502.0	772580.0	-163.5	NA	772352.0	772825.0	474.0	990.0	orphan_13_ss.jpg
orphan_14	773831	-	490	RNA	NA	NA	NA	-66.0	NA	773373.0	773414.0	42.0	459.0	orphan_14_ss.jpg
orphan_19	789659	-	862	RNA	RhoDep	789195.0	789273.0	-105.9	NA	789045.0	789658.0	614.0	615.0	orphan_19_ss.jpg
orphan_20	893550	-	352	COD	Intrinsic	893375.0	893394.0	NA	NA	893375.0	893476.0	102.0	176.0	
orphan_21	893621	-	71	RNA	NA	NA	NA	0.0	NA	893601.0	893609.0	9.0	21.0	orphan_21_ss.jpg
orphan_24	1071290	-	211	RNA	NA	NA	NA	-24.8	[['motif_3', 32, 0.000908]]	1071209.0	1071235.0	27.0	82.0	orphan_24_ss.jpg
orphan_25	1071467	-	177	RNA	NA	NA	NA	-10.8	[['motif_0', 29, 0.00418]]	1071365.0	1071409.0	45.0	103.0	orphan_25_ss.jpg
orphan_27	1722026	-	706	RNA	NA	NA	NA	-109.6	[['motif_0', 2, 0.00213]]	1721321.0	1722026.0	706.0	706.0	orphan_27_ss.jpg
antisense_7	14811	+	164	COD	NA	NA	NA	NA	[['motif_0', 9, 0.000996]]	14826.0	14933.0	108.0	123.0	
antisense_8	14975	+	398	RNA	NA	NA	NA	-10.3	NA	15032.0	15067.0	36.0	93.0	antisense_8_ss.jpg
antisense_9	15373	+	434	RNA	NA	NA	NA	-28.4	[['motif_0', 29, 0.00261]]	15401.0	15589.0	189.0	217.0	antisense_9_ss.jpg
antisense_10	18417	+	846	RNA	Intrinsic	19217.0	19239.0	-144.4	NA	18576.0	19239.0	664.0	823.0	antisense_10_ss.jpg
antisense_11	22939	+	862	RNA	RhoDep	23566.0	23644.0	-151.8	NA	22939.0	23794.0	856.0	856.0	antisense_11_ss.jpg
antisense_12	24348	+	187	RNA	NA	NA	NA	-16.0	[['motif_0', 28, 7.85e-05]]	24391.0	24435.0	45.0	88.0	antisense_12_ss.jpg
antisense_13	24535	+	839	RNA	NA	NA	NA	-168.4	[['motif_0', 29, 0.00288]]	24951.0	25371.0	421.0	837.0	antisense_13_ss.jpg
antisense_14	25374	+	622	RNA	NA	NA	NA	-118.6	NA	25374.0	25995.0	622.0	622.0	antisense_14_ss.jpg
antisense_15	25996	+	477	RNA	NA	NA	NA	-13.0	NA	26076.0	26093.0	18.0	98.0	antisense_15_ss.jpg
antisense_24	54637	+	862	COD	RhoDep	55256.0	55334.0	NA	[['motif_0', 29, 0.00192]]	54746.0	55484.0	739.0	848.0	
antisense_25	56003	+	862	COD	RhoDep	56521.0	56599.0	NA	[['motif_3', 24, 0.000908]]	56021.0	56749.0	729.0	747.0	
antisense_28	62933	+	643	RNA	NA	NA	NA	-107.8	[['motif_0', 29, 0.00033]]	62935.0	63568.0	634.0	636.0	antisense_28_ss.jpg
antisense_29	63576	+	862	RNA	NA	NA	NA	-148.2	[['motif_0', 29, 6.93e-06]]	64411.0	64425.0	15.0	850.0	antisense_29_ss.jpg
antisense_30	65034	+	35	RNA	NA	NA	NA	-1.2	[['motif_0', 29, 0.000996]]	65054.0	65068.0	15.0	35.0	antisense_30_ss.jpg
antisense_31	65069	+	367	RNA	NA	NA	NA	-18.0	[['motif_0', 30, 0.000167]]	65194.0	65205.0	12.0	137.0	antisense_31_ss.jpg
antisense_34	68462	+	862	RNA	NA	NA	NA	-39.4	NA	68635.0	68712.0	78.0	251.0	antisense_34_ss.jpg
antisense_35	69694	+	862	RNA	RhoDep	70110.0	70188.0	-106.9	[['motif_0', 29, 0.00173]]	69694.0	70338.0	645.0	645.0	antisense_35_ss.jpg
antisense_37	72988	+	862	COD	RhoDep	73677.0	73755.0	NA	[['motif_0', 32, 9.2e-05]]	73008.0	73905.0	898.0	918.0	
antisense_38	77266	+	430	RNA	NA	NA	NA	-69.0	[['motif_0', 29, 0.00261]]	77521.0	77559.0	39.0	294.0	antisense_38_ss.jpg
antisense_39	77696	+	43	RNA	NA	NA	NA	0.0	[['motif_0', 29, 0.000427]]	77705.0	77716.0	12.0	21.0	antisense_39_ss.jpg
antisense_40	77739	+	862	RNA	RhoDep	77782.0	77860.0	-47.9	[['motif_0', 28, 8.93e-06], ['motif_3', 3, 0.000908]]	77739.0	78010.0	272.0	272.0	antisense_40_ss.jpg
antisense_42	82774	+	862	RNA	NA	NA	NA	-180.37	[['motif_0', 29, 2.7e-05]]	82775.0	83635.0	861.0	862.0	antisense_42_ss.jpg
antisense_43	87858	+	538	RNA	RhoDep	88325.0	88403.0	-129.7	NA	87858.0	88553.0	696.0	696.0	antisense_43_ss.jpg
antisense_44	88396	+	157	RNA	NA	NA	NA	-4.8	[['motif_0', 30, 0.000376]]	88397.0	88432.0	36.0	37.0	antisense_44_ss.jpg
antisense_45	88553	+	862	COD	NA	NA	NA	NA	[['motif_3', 31, 0.000253]]	88986.0	89207.0	222.0	655.0	
antisense_50	94350	+	666	RNA	NA	NA	NA	-88.1	[['motif_3', 8, 0.000253]]	94351.0	94857.0	507.0	508.0	antisense_50_ss.jpg
antisense_59	125435	+	152	RNA	NA	NA	NA	-9.2	[['motif_0', 30, 1.43e-05]]	125477.0	125497.0	21.0	63.0	antisense_59_ss.jpg
antisense_60	125587	+	332	RNA	NA	NA	NA	-20.1	[['motif_0', 19, 0.00457]]	125706.0	125738.0	33.0	152.0	antisense_60_ss.jpg
antisense_61	125919	+	862	RNA	NA	NA	NA	-168.9	[['motif_0', 31, 0.00125]]	125919.0	126771.0	853.0	853.0	antisense_61_ss.jpg
antisense_62	127495	+	862	RNA	RhoDep	127928.0	128006.0	-113.7	[['motif_0', 29, 0.00062], ['motif_4', 3, 7.17e-10]]	127495.0	128156.0	662.0	662.0	antisense_62_ss.jpg
antisense_63	129488	+	862	RNA	Intrinsic	129896.0	129915.0	-67.1	[['motif_0', 32, 0.00418]]	129754.0	129915.0	162.0	428.0	antisense_63_ss.jpg
antisense_68	142838	+	862	RNA	NA	NA	NA	-91.3	[['motif_0', 28, 4.03e-06], ['motif_3', 21, 0.000908]]	143371.0	143427.0	57.0	590.0	antisense_68_ss.jpg
antisense_71	157219	+	862	RNA	RhoDep	157864.0	157942.0	-148.3	[['motif_0', 29, 0.000289], ['motif_3', 14, 0.000908]]	157240.0	158092.0	853.0	874.0	antisense_71_ss.jpg
antisense_72	159680	+	862	RNA	NA	NA	NA	-87.6	NA	160161.0	160214.0	54.0	535.0	antisense_72_ss.jpg
antisense_73	164619	+	36	RNA	NA	NA	NA	-1.5	[['motif_0', 4, 0.00213]]	164643.0	164654.0	12.0	36.0	antisense_73_ss.jpg
antisense_74	164655	+	463	RNA	Intrinsic	164940.0	164966.0	-73.1	[['motif_0', 29, 0.00317]]	164655.0	164966.0	312.0	312.0	antisense_74_ss.jpg
antisense_75	166364	+	862	COD	RhoDep	166603.0	166681.0	NA	[['motif_3', 18, 0.000253]]	166365.0	166831.0	467.0	468.0	
antisense_76	167350	+	862	RNA	RhoDepWithHP	167811.0	167953.0	-99.7	[['motif_0', 29, 3.95e-05]]	167362.0	167953.0	592.0	604.0	antisense_76_ss.jpg
antisense_77	168613	+	862	RNA	RhoDep	169295.0	169373.0	-117.8	[['motif_0', 9, 0.0007], ['motif_3', 2, 0.000908]]	168979.0	169523.0	545.0	911.0	antisense_77_ss.jpg
antisense_78	169489	+	168	RNA	RhoDep	169618.0	169696.0	-54.6	[['motif_0', 29, 0.00173]]	169589.0	169846.0	258.0	358.0	antisense_78_ss.jpg
antisense_79	169657	+	448	RNA	RhoDep	170004.0	170082.0	-89.9	NA	169965.0	170232.0	268.0	576.0	antisense_79_ss.jpg
antisense_80	170105	+	840	RNA	NA	NA	NA	-141.0	[['motif_0', 28, 6.67e-05]]	170105.0	170944.0	840.0	840.0	antisense_80_ss.jpg
antisense_84	180645	+	365	RNA	RhoDep	180996.0	181074.0	-84.3	NA	180862.0	181224.0	363.0	580.0	antisense_84_ss.jpg
antisense_85	181010	+	862	RNA	NA	NA	NA	-97.0	[['motif_0', 29, 3.28e-05]]	181545.0	181634.0	90.0	625.0	antisense_85_ss.jpg
antisense_86	184608	+	862	RNA	RhoDep	185299.0	185377.0	-159.8	[['motif_0', 29, 4.73e-05]]	184790.0	185527.0	738.0	920.0	antisense_86_ss.jpg
antisense_87	185701	+	327	RNA	RhoDep	185814.0	185892.0	-70.7	[['motif_0', 29, 1.78e-05]]	185793.0	186042.0	250.0	342.0	antisense_87_ss.jpg
antisense_88	186028	+	862	RNA	Intrinsic	186328.0	186345.0	-34.0	[['motif_0', 29, 0.000427]]	186285.0	186345.0	61.0	318.0	antisense_88_ss.jpg
antisense_90	193197	+	67	RNA	NA	NA	NA	-5.2	[['motif_0', 30, 0.00155]]	193247.0	193255.0	9.0	59.0	antisense_90_ss.jpg
antisense_91	193264	+	709	RNA	NA	NA	NA	-105.3	[['motif_0', 29, 0.00062]]	193290.0	193971.0	682.0	708.0	antisense_91_ss.jpg
