transcript_id	strand	type	start	end	feature	term_id	score_term	term_start	term_end	rank_term_score	additional_term	start_with_terminator	end_with_terminator
antisense_0	-	RNA	1696	1896	RhoDep	T1386	0.391	1122.0	1200.0	1.0		972.0	1896.0
antisense_1	-	RNA	1934	2199								1934.0	2199.0
antisense_2	-	RNA	2271	2398								2271.0	2398.0
antisense_3	-	COD	3670	4463								3670.0	4463.0
antisense_4	-	RNA	4620	4842	RhoDep	T1389	0.623	4575.0	4653.0	1.0		4425.0	4842.0
antisense_5	-	COD	10972	11812	RhoDep	T1397	0.517	11150.0	11228.0	1.0		11000.0	11812.0
antisense_6	-	COD	11827	12085								11827.0	12085.0
antisense_7	-	RNA	13584	13687	RhoDep	T1401	0.361	12717.0	12795.0	1.0		12567.0	13687.0
antisense_8	-	RNA	14010	14034								14010.0	14034.0
antisense_9	-	RNA	14195	14696								14195.0	14696.0
antisense_10	+	RNA	15907	16367	Intrinsic	TERM223	0.734	16436.0	16449.0	1.0		15907.0	16449.0
antisense_11	+	COD	16567	16689								16567.0	16689.0
antisense_12	+	RNA	16731	16823								16731.0	16823.0
antisense_13	+	COD	17129	17395	RhoDep	T8	0.316	17142.0	17220.0	1.0		17129.0	17370.0
antisense_14	+	RNA	19493	20300	RhoDep	T11	0.526	19941.0	20019.0	1.0		19493.0	20169.0
antisense_15	+	RNA	20301	20492	RhoDep	T12	0.608	20875.0	20953.0	1.0		20301.0	21103.0
antisense_16	+	RNA	24811	25720	RhoDep	T16	0.643	25435.0	25513.0	1.0		24811.0	25663.0
antisense_17	+	RNA	26217	27126								26217.0	27126.0
antisense_18	+	RNA	27243	27927								27243.0	27927.0
antisense_19	-	RNA	35894	36420	RhoDepWithHP	T1426	0.57	35505.0	35673.0	1.0	TERM481	35505.0	36420.0
orphan_0	+	RNA	38882	39248								38882.0	39248.0
antisense_20	-	RNA	39719	40330	RhoDep	T1432	0.674	39583.0	39661.0	1.0		39433.0	40330.0
orphan_1	+	RNA	41200	41561	Intrinsic	TERM571	0.172	41216.0	41238.0	1.0		41200.0	41238.0
antisense_21	-	RNA	40815	41491								40815.0	41491.0
antisense_22	-	RNA	45853	45978	RhoDep	T1447	0.612	45492.0	45570.0	1.0		45342.0	45978.0
antisense_23	-	RNA	45981	46790								45981.0	46790.0
antisense_24	-	RNA	47425	48168	Intrinsic	TERM661	0.7	47404.0	47425.0	1.0		47404.0	48168.0
antisense_25	-	RNA	50063	50251								50063.0	50251.0
antisense_26	-	RNA	50436	50577								50436.0	50577.0
antisense_27	-	RNA	50835	51744								50835.0	51744.0
antisense_28	+	COD	55646	56309	RhoDep	T29	0.72	56265.0	56343.0	1.0		55646.0	56493.0
antisense_29	+	COD	57012	57901	RhoDep	T33	0.614	57837.0	57915.0	1.0		57012.0	58065.0
antisense_30	-	RNA	60094	60583	RhoDep	T1456	0.52	59699.0	59777.0	1.0		59549.0	60583.0
antisense_31	-	RNA	61344	61811								61344.0	61811.0
antisense_32	-	RNA	62100	62361	RhoDep	T1458	0.593	62124.0	62202.0	1.0		61974.0	62361.0
antisense_33	+	RNA	63946	64581								63946.0	64581.0
antisense_34	+	RNA	64589	65480								64589.0	65480.0
antisense_35	+	RNA	66049	66083								66049.0	66083.0
antisense_36	+	RNA	66084	66220								66084.0	66220.0
antisense_37	-	RNA	66493	67215	RhoDep	T1464	0.517	66679.0	66757.0	1.0		66529.0	67215.0
antisense_38	+	RNA	69587	69837								69587.0	69837.0
antisense_39	+	RNA	71035	71328	RhoDep	T42	0.678	71387.0	71465.0	1.0		71035.0	71615.0
antisense_40	+	RNA	73983	74081	RhoDep	T44	0.746	74095.0	74173.0	1.0		73983.0	74323.0
antisense_41	+	RNA	78261	78554								78261.0	78554.0
antisense_42	+	RNA	78691	78711								78691.0	78711.0
antisense_43	+	RNA	78734	79643	RhoDep	T54	0.743	79631.0	79709.0	1.0		78734.0	79859.0
antisense_44	-	RNA	79836	80379								79836.0	80379.0
antisense_45	-	RNA	81178	82079	RhoDepWithHP	T1475	0.254	81901.0	82077.0	1.0	TERM1191	81901.0	82079.0
antisense_46	+	RNA	83093	83521								83093.0	83521.0
antisense_47	+	RNA	83771	84647	Intrinsic	TERM1246	0.569	84414.0	84435.0	1.0		83771.0	84435.0
antisense_48	+	RNA	88785	89391	RhoDep	T63	0.692	89321.0	89399.0	1.0		88785.0	89549.0
antisense_49	+	RNA	89392	89428								89392.0	89428.0
antisense_50	+	COD	89549	90203								89549.0	90203.0
antisense_51	-	RNA	91439	91716	Intrinsic	TERM1355	0.565	91376.0	91387.0	1.0		91376.0	91716.0
antisense_52	-	COD	91728	92467	RhoDep	T1486	0.47	92033.0	92111.0	1.0		91883.0	92467.0
antisense_53	-	RNA	92713	93292								92713.0	93292.0
antisense_54	+	RNA	95342	96012								95342.0	96012.0
antisense_55	-	RNA	101880	102439								101880.0	102439.0
antisense_56	-	RNA	103174	104083	RhoDep	T1501	0.628	103136.0	103214.0	1.0		102986.0	104083.0
antisense_57	-	RNA	104823	104939	RhoDep	T1502	0.602	104255.0	104333.0	1.0		104105.0	104939.0
antisense_58	-	RNA	108375	109276	RhoDep	T1505	0.675	108343.0	108421.0	1.0		108193.0	109276.0
antisense_59	-	COD	111183	112027	Intrinsic	TERM1659	0.557	111331.0	111341.0	1.0		111331.0	112027.0
antisense_60	-	COD	112165	113032								112165.0	113032.0
antisense_61	-	RNA	117149	118033	RhoDep	T1518	0.582	117282.0	117360.0	1.0		117132.0	118033.0
antisense_62	+	RNA	126428	126490								126428.0	126490.0
antisense_63	+	RNA	126580	126731								126580.0	126731.0
antisense_64	+	RNA	126912	127821	Intrinsic	TERM1877	0.754	127737.0	127753.0	1.0		126912.0	127753.0
antisense_65	+	RNA	129646	130440								129646.0	130440.0
antisense_66	+	RNA	130484	130782	RhoDep	T85	0.524	131367.0	131445.0	1.0		130484.0	131595.0
antisense_67	-	RNA	132086	132347								132086.0	132347.0
antisense_68	-	RNA	132351	132939	RhoDep	T1532	0.593	132458.0	132536.0	1.0		132308.0	132939.0
antisense_69	-	RNA	133099	133257								133099.0	133257.0
antisense_70	-	RNA	137235	138084								137235.0	138084.0
antisense_71	-	RNA	140336	141245	Intrinsic	TERM2061	0.215	140841.0	140854.0	1.0		140841.0	141245.0
antisense_72	-	RNA	142126	142803	RhoDep	T1549	0.734	142029.0	142107.0	1.0		141879.0	142803.0
antisense_73	-	RNA	146774	147683	RhoDep	T1555	0.747	146702.0	146780.0	1.0		146552.0	147683.0
antisense_74	+	RNA	155751	155841								155751.0	155841.0
antisense_75	+	RNA	158457	159366	RhoDep	T101	0.605	159102.0	159180.0	1.0		158457.0	159330.0
antisense_76	+	RNA	163459	164012	RhoDep	T106	0.518	163898.0	163976.0	1.0		163459.0	164126.0
antisense_77	+	RNA	165893	166344								165893.0	166344.0
antisense_78	-	RNA	166373	167074								166373.0	167074.0
antisense_79	+	RNA	169321	170224	RhoDep	T115	0.646	170037.0	170115.0	1.0		169321.0	170265.0
antisense_80	+	RNA	170584	170994	RhoDep	T117	0.617	171266.0	171344.0	1.0		170584.0	171494.0
antisense_81	+	RNA	171460	171587	RhoDep	T118	0.743	171589.0	171667.0	1.0		171460.0	171817.0
antisense_82	+	RNA	171620	171965	RhoDep	T119	0.682	171975.0	172053.0	1.0		171620.0	172203.0
