transcript_id	position	strand	transcript_length	winner	feature	term_start	term_end	mfe	summary	GeneStart	GeneEnd	GeneLength	GeneLengthWithUTR	url_for_image
orphan_5	4252	+	284	RNA	NA	NA	NA	-30.1	[['motif_0', 39, 0.000499], ['motif_2', 24, 7.92e-05]]	4306.0	4383.0	78.0	132.0	orphan_5_ss.jpg
orphan_8	21681	+	53	COD	NA	NA	NA	-5.5	[['motif_0', 4, 0.000197]]	21706.0	21723.0	18.0	43.0	orphan_8_ss.jpg
orphan_9	21734	+	185	RNA	NA	NA	NA	-7.2	[['motif_0', 18, 0.000665]]	21740.0	21775.0	36.0	42.0	orphan_9_ss.jpg
orphan_2	2720	-	725	RNA	RhoDep	2092.0	2170.0	-253.8	[['motif_2', 28, 0.000156]]	1942.0	2720.0	779.0	779.0	orphan_2_ss.jpg
orphan_4	4242	-	455	RNA	NA	NA	NA	-30.3	NA	4033.0	4062.0	30.0	210.0	orphan_4_ss.jpg
antisense_4	20011	+	725	RNA	RhoDep	20642.0	20720.0	-236.4	[['motif_0', 38, 0.00174], ['motif_1', 7, 4.23e-07]]	20316.0	20870.0	555.0	860.0	antisense_4_ss.jpg
antisense_0	981	-	488	RNA	RhoDep	427.0	505.0	-218.8	[['motif_0', 38, 0.000747]]	277.0	754.0	478.0	705.0	antisense_0_ss.jpg
antisense_1	11991	-	725	RNA	RhoDep	11190.0	11268.0	-278.3	[['motif_0', 39, 3.53e-05], ['motif_1', 14, 9.86e-09]]	11040.0	11660.0	621.0	952.0	antisense_1_ss.jpg
antisense_2	12120	-	129	RNA	RhoDep	11940.0	12018.0	-99.3	[['motif_0', 15, 0.000134]]	11790.0	12115.0	326.0	331.0	antisense_2_ss.jpg
antisense_3	16854	-	725	RNA	RhoDep	16205.0	16283.0	-238.4	[['motif_0', 9, 0.000351], ['motif_1', 36, 6.86e-08]]	16055.0	16591.0	537.0	800.0	antisense_3_ss.jpg
antisense_5	25303	-	725	RNA	RhoDep	24604.0	24682.0	-243.4	[['motif_0', 12, 0.000395], ['motif_2', 27, 7.92e-05]]	24454.0	24777.0	324.0	850.0	antisense_5_ss.jpg
antisense_6	30894	-	468	COD	NA	NA	NA	-96.2	[['motif_0', 14, 0.000109]]	30445.0	30654.0	210.0	450.0	antisense_6_ss.jpg
antisense_7	32225	-	725	RNA	RhoDep	31831.0	31909.0	-137.9	[['motif_0', 39, 2.36e-05], ['motif_1', 1, 1.78e-08]]	31681.0	32166.0	486.0	545.0	antisense_7_ss.jpg
